VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,20,0,-0.8114,69.3205,122.1668,2.234,281.587,-0.08183931
0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,20,0,-0.7676,69.423,122.0002,2.237,419.818,-0.10181881
0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,20,0,-0.7238,69.5255,121.8336,2.24,558.049,-0.14361863
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,9,18,2,0,-0.4613,43.8067,112.667,2.3447,298.811,0.53034292
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,8,16,4,0,-0.4856,46.67573334,113.667,2.3334,188.2453334,0.36697766
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,7,14,6,0,-0.5099,49.54476667,114.667,2.3221,77.67966669,0.27546223
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,6,12,8,0,-0.5342,52.4138,115.667,2.3108,32.88599998,0.20276956
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,10,10,0,-0.5585,55.28283334,116.667,2.2995,143.4516667,-0.04334986
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,8,12,0,-0.5828,58.15186667,117.667,2.2882,254.0173333,-0.20281449
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,6,14,0,-0.6071,61.0209,118.667,2.2769,364.583,-0.37207644
